Student ID,AssignmentOneAverage,AssignmentOneAttempt,AssignmentTwoAverage,AssignmentTwoAttempt,AssignmentThreeAverage,AssignmentThreeAttempt,Gender,Course,Rating
10947,0,0,80,2,80,2,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),6
17244,90,5,60,8,80,6,1,Using Python to Interact with the Operating System(Coursera),8
13757,80,8,70,9,70,7,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
14853,90,5,0,0,50,1,0,Computer Hardware and Operating Systems(EDX),6
10418,80,5,0,0,70,8,1,Operating Systems from scratch - Part 1(Udemy),7
19706,60,3,70,9,90,7,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),6
2143,80,8,70,4,60,3,0,Operating Azure Stack Hub(PLuralSight),5
1265,80,8,70,6,70,7,0,Using Python to Interact with the Operating System(Coursera),6
10920,90,8,70,5,60,8,1,Real Time Operating System(SWAYAM),7
10050,0,0,90,2,0,0,1,Real Time Operating System(SWAYAM),6
20170,80,5,70,7,80,8,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),4
20828,90,3,0,0,70,9,1,Embedded and Real Time Operating Systems(Youtube),5
20085,80,5,0,0,40,1,0,Operating Systems(SWAYAM),7
13576,0,0,90,5,60,4,1,Advanced Operating Systems(Udacity),6
4667,90,8,70,6,70,7,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
2255,90,8,70,9,60,2,0,Cybersecurity Roles and Operating System Security(EDX),6
4422,80,3,70,9,70,5,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
19855,80,3,0,0,70,7,0,Operating System(Youtube -GateSmasher),7
17395,90,8,80,4,60,9,0,Getting Started with Junos Operating System(Coursera),6
20417,80,3,70,2,70,3,0,Introduction to Operating Systems(Udacity),6
16058,90,8,80,2,50,2,1,Linux Operating System Fundamentals(Udemy),7
17612,80,8,80,3,60,3,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
4885,80,8,80,4,80,2,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),6
20095,0,0,70,3,80,4,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),8
11512,90,5,80,8,70,4,1,Operating Running Systems(PluraSight),5
19699,80,8,80,7,80,8,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),5
16116,90,5,0,0,70,6,1,Linux Operating System Fundamentals(Udemy),6
17348,90,3,0,0,50,1,1,Embedded and Real Time Operating Systems(Youtube),6
15034,0,0,80,5,60,4,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
3442,90,5,80,2,60,2,1,Hello (Real) World with ROS – Robot Operating System(EDX),8
13776,0,0,80,8,80,4,1,Introduction to Operating Systems(Udacity),7
10388,70,3,90,9,40,2,1,Embedded and Real Time Operating Systems(Youtube),5
10001,50,8,90,7,80,7,0,Operating System(Udemy),7
7743,80,3,90,2,60,2,0,Operating Systems and You: Becoming a Power User(Coursera),7
16571,70,8,80,4,50,1,0,Become a Master of Operating Systems at comfort of your Home (Udemy),7
16250,80,5,0,0,80,8,1,Operating Systems from scratch - Part 2(Udemy),5
7196,60,5,80,7,70,6,1,Advanced Operating Systems(Udacity),7
4512,80,8,80,3,70,8,1,Operating Systems(SWAYAM),6
6587,90,5,90,5,60,1,0,Advanced Operating Systems(Udacity),6
18189,0,0,90,7,50,3,0,Embedded and Real Time Operating Systems(Youtube),6
13617,80,5,80,2,80,6,0,Real Time Operating System(SWAYAM),7
4926,80,3,80,2,50,1,1,Operating System(Udemy),6
9484,70,3,80,3,0,0,1,Introduction to Operating Systems(Udacity),7
15392,90,8,60,5,60,1,1,Cybersecurity Roles and Operating System Security(EDX),5
17263,80,5,70,7,70,4,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
7184,80,3,0,0,70,2,1,Linux Operating System Fundamentals(Udemy),6
9675,0,0,90,7,70,8,0,Using Python to Interact with the Operating System(Coursera),7
19904,70,3,80,6,70,7,1,Operating Systems from scratch - Part 2(Udemy),7
12927,90,5,80,7,60,4,0,Cybersecurity Roles and Operating System Security(EDX),6
3246,0,0,90,2,0,0,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
21079,90,5,80,7,70,1,0,Operating System(Udemy),6
4099,0,0,90,6,0,0,0,Operating Systems from scratch - Part 2(Udemy),7
5714,60,3,80,1,80,8,1,Introduction to Operating Systems(Udacity),6
7430,0,0,80,7,60,2,1,Embedded and Real Time Operating Systems(Youtube),7
3702,80,8,60,2,70,5,1,Operating System(Youtube -GateSmasher),7
14911,90,8,80,3,70,3,0,Computer Hardware and Operating Systems(EDX),6
10667,60,3,90,8,50,5,0,Getting Started with Junos Operating System(Coursera),7
16874,0,0,80,7,70,6,1,Operating System(Udemy),7
17006,80,3,80,3,0,0,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
3590,80,3,80,8,70,4,1,Understanding Computer Systems(FutureLearn),5
8885,0,0,0,0,80,3,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
20984,0,0,90,7,80,7,1,Operating Systems(SWAYAM),3
18664,0,0,80,9,60,2,1,Operating Systems(SWAYAM),6
4700,70,8,80,5,60,1,1,Introduction to Operating Systems(Swayam),8
2259,0,0,90,7,50,5,0,Operating Azure Stack Hub(PLuralSight),8
5547,90,5,0,0,80,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
20328,80,8,60,6,80,8,1,Operating Running Systems(PluraSight),7
3794,70,5,80,7,70,6,1,Getting Started with Junos Operating System(Coursera),5
10225,80,3,70,2,70,9,0,Operating Systems(SWAYAM),5
7961,90,8,90,8,0,0,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),5
10099,60,5,90,7,70,6,0,Operating Systems from scratch - Part 1(Udemy),6
8992,80,5,90,7,60,8,1,Introduction to Operating Systems(Swayam),4
15199,90,8,80,8,50,5,0,Embedded Hardware and Operating Systems(Coursera),7
17157,90,8,80,1,70,7,0,Using Python to Interact with the Operating System(Coursera),7
8285,0,0,80,3,70,6,0,Hello (Real) World with ROS – Robot Operating System(EDX),6
14145,90,8,80,8,50,6,0,Cybersecurity Roles and Operating System Security(EDX),6
3617,70,8,80,2,70,3,0,Linux Operating System Fundamentals(Udemy),6
20041,0,0,90,3,0,0,0,Introduction to Operating Systems(Swayam),5
1725,90,5,70,6,80,8,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
19145,80,8,90,2,50,1,0,Computer Hardware and Operating Systems(EDX),7
15432,90,3,80,1,70,7,1,Advanced Operating Systems(Udacity),8
4279,80,8,80,7,50,2,0,Real Time Operating System(SWAYAM),7
21171,80,5,0,0,70,1,0,Introduction to Operating Systems(Udacity),7
5035,90,5,60,1,80,3,0,Using Python to Interact with the Operating System(Coursera),6
7478,70,3,80,8,60,4,1,Operating System(Udemy),7
2457,80,3,80,4,0,0,0,Linux Operating System Fundamentals(Udemy),7
20207,70,8,80,7,70,7,0,Understanding Computer Systems(FutureLearn),7
677,80,8,70,2,60,1,0,Operating Systems from scratch - Part 2(Udemy),7
19961,0,0,90,8,60,2,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
17003,60,5,0,0,80,9,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),3
10726,0,0,70,5,80,8,1,Operating System(Udemy),7
9028,90,5,70,2,50,3,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
17609,90,5,0,0,60,8,0,Embedded and Real Time Operating Systems(Youtube),6
2905,80,8,90,3,70,2,0,Computer Hardware and Operating Systems(EDX),4
10736,80,8,70,3,0,0,1,Embedded and Real Time Operating Systems(Youtube),6
9300,80,3,80,2,60,1,1,Hello (Real) World with ROS – Robot Operating System(EDX),7
1753,80,8,80,5,70,4,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),6
1508,90,5,80,3,0,0,1,Operating Systems and You: Becoming a Power User(Coursera),8
7965,0,0,0,0,80,8,0,Operating System(Youtube -GateSmasher),7
15903,80,3,80,1,60,3,0,Operating Systems Concept and Design Principles for Beginner(Udemy),8
4094,90,5,70,5,70,9,1,Computer Hardware and Operating Systems(EDX),7
967,70,3,80,1,70,2,0,Operating Systems from scratch - Part 2(Udemy),7
15026,80,5,90,7,60,1,1,Advanced Operating Systems(Udacity),6
11849,70,8,90,8,0,0,0,Operating Systems(SWAYAM),7
2852,80,3,70,5,60,2,1,Operating Systems from scratch - Part 2(Udemy),7
11916,80,8,70,4,60,2,1,Operating Azure Stack Hub(PLuralSight),7
16903,70,5,90,7,60,6,0,Operating System(Udemy),7
3799,90,8,0,0,60,6,0,Operating Systems and You: Becoming a Power User(Coursera),6
5236,0,0,80,7,70,4,1,Real Time Operating System(SWAYAM),8
16873,0,0,80,6,70,8,0,Getting Started with Junos Operating System(Coursera),5
20603,90,8,70,2,70,1,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),5
367,70,5,90,3,0,0,0,Operating System(Youtube -GateSmasher),7
17680,80,8,90,8,40,7,1,Operating System(Youtube -GateSmasher),7
6226,80,5,0,0,60,3,1,Hello (Real) World with ROS – Robot Operating System(EDX),6
15486,60,3,90,7,70,1,1,Operating Systems and You: Becoming a Power User(Coursera),6
13066,70,8,90,2,60,1,1,Real Time Operating System(SWAYAM),5
8786,80,8,70,3,0,0,1,Operating Running Systems(PluraSight),7
10963,80,8,80,1,0,0,0,Introduction to Operating Systems(Udacity),7
4692,80,8,70,5,50,3,1,Understanding Computer Systems(FutureLearn),7
19675,0,0,80,2,70,2,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),6
2512,80,8,70,9,80,8,1,Using Python to Interact with the Operating System(Coursera),7
8867,80,3,70,6,80,6,0,Cybersecurity Roles and Operating System Security(EDX),6
16153,0,0,80,3,0,0,0,Operating Systems and You: Becoming a Power User(Coursera),6
495,80,5,70,2,70,6,0,Introduction to Operating Systems(Swayam),5
9340,90,5,90,8,60,3,1,Introduction to Operating Systems(Swayam),7
6961,80,3,70,5,0,0,0,Introduction to Operating Systems(Udacity),6
8884,0,0,80,7,80,1,1,Operating Systems from scratch - Part 2(Udemy),7
2740,80,3,80,9,0,0,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
2154,90,8,90,1,60,5,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
1879,80,8,80,1,50,1,0,Understanding Computer Systems(FutureLearn),7
20830,80,8,90,8,60,9,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
3918,90,5,60,7,0,0,1,Embedded Hardware and Operating Systems(Coursera),6
17035,80,8,80,4,50,2,0,Become a Master of Operating Systems at comfort of your Home (Udemy),6
3741,0,0,80,2,90,7,0,Operating Systems and You: Becoming a Power User(Coursera),7
13305,80,3,80,7,0,0,0,Understanding Computer Systems(FutureLearn),6
4825,90,5,80,4,80,7,0,Operating Systems Concept and Design Principles for Beginner(Udemy),6
749,90,5,60,2,90,6,0,Getting Started with Junos Operating System(Coursera),5
13505,70,5,80,3,70,7,0,Hello (Real) World with ROS – Robot Operating System(EDX),5
20460,80,3,90,9,50,5,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),6
21265,90,5,80,3,0,0,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
17530,0,0,80,5,70,8,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
4195,90,8,80,9,70,5,0,Operating System(Youtube -GateSmasher),6
13913,80,8,80,6,50,5,0,Cybersecurity Roles and Operating System Security(EDX),7
18629,60,3,80,2,80,4,0,Operating Systems Concept and Design Principles for Beginner(Udemy),6
13116,80,5,70,2,70,1,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
8695,80,5,90,2,0,0,0,Getting Started with Junos Operating System(Coursera),6
8118,0,0,80,2,70,4,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
18597,90,8,70,3,60,5,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
10898,80,5,80,5,70,9,1,Understanding Computer Systems(FutureLearn),7
18442,80,5,70,3,0,0,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
15003,70,3,60,2,80,9,0,Operating Systems from scratch - Part 2(Udemy),6
8991,90,5,0,0,70,2,0,Introduction to Operating Systems(Udacity),7
13886,80,8,70,7,70,1,1,Getting Started with Junos Operating System(Coursera),8
1519,80,5,80,9,50,2,0,Operating Systems Concept and Design Principles for Beginner(Udemy),6
730,70,5,70,7,80,8,1,Computer Hardware and Operating Systems(EDX),5
17346,80,5,0,0,70,3,1,Advanced Operating Systems(Udacity),6
