Student ID,AssignmentOneCurrentScore,AssignmentOneAttempt,AssignmentTwoCurrentScore,AssignmentTwoAttempt,AssignmentThreeCurrentScore,AssignmentThreeAttempt,Gender,Course,Rating
13973,60,8,70,6,50,1,0,Getting Started with Junos Operating System(Coursera),7
19937,80,5,0,0,40,4,0,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
274,0,0,60,9,70,3,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),5
13956,80,5,70,8,80,7,1,Operating Systems from scratch - Part 1(Udemy),6
14892,90,8,60,3,80,9,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
16001,0,0,60,8,70,7,0,Cybersecurity Roles and Operating System Security(EDX),6
12852,70,8,0,0,60,7,1,Computer Hardware and Operating Systems(EDX),6
9601,90,5,70,3,0,0,0,Introduction to Operating Systems(Swayam),5
18378,80,3,70,6,60,9,1,Linux Operating System Fundamentals(Udemy),7
4363,70,8,60,3,60,2,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
5780,70,3,90,2,50,9,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
9332,0,0,70,9,70,6,1,Understanding Computer Systems(FutureLearn),7
18801,80,8,70,6,60,6,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
2473,80,3,30,4,50,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
8280,70,3,80,3,60,9,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),6
857,40,5,70,6,0,3,0,Real Time Operating System(SWAYAM),3
21199,70,5,90,4,80,6,0,Operating Systems and You: Becoming a Power User(Coursera),5
9833,90,5,0,0,50,8,0,Introduction to Operating Systems(Swayam),6
240,60,5,80,1,40,9,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
4961,70,5,70,2,80,5,0,Introduction to Operating Systems(Swayam),7
19507,60,5,70,6,70,6,0,Operating System(Youtube -GateSmasher),7
13042,60,5,0,0,80,3,1,Linux Operating System Fundamentals(Udemy),6
11855,90,8,60,2,70,1,0,Understanding Computer Systems(FutureLearn),7
7786,90,8,0,0,60,2,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
19897,80,3,80,3,70,1,0,Embedded Hardware and Operating Systems(Coursera),7
21209,90,8,70,9,80,2,0,Operating Systems from scratch - Part 2(Udemy),6
14918,60,3,0,0,60,1,1,Become a Master of Operating Systems at comfort of your Home (Udemy),6
7297,90,3,60,8,70,4,0,Using Python to Interact with the Operating System(Coursera),6
16682,90,8,80,2,50,7,1,Operating Systems from scratch - Part 1(Udemy),7
3605,0,0,0,0,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
16108,70,8,0,0,40,6,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),8
18231,90,8,80,3,30,7,0,Operating System(Youtube -GateSmasher),8
14646,70,3,70,2,40,1,1,Introduction to Operating Systems(Udacity),5
1968,0,0,80,5,60,2,1,Operating System(Udemy),7
15323,70,5,70,3,60,1,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
550,70,8,70,6,50,4,1,Operating Running Systems(PluraSight),5
6164,60,3,80,2,40,5,1,Real Time Operating System(SWAYAM),7
9954,60,5,70,8,60,6,1,Operating Systems from scratch - Part 1(Udemy),7
1412,90,3,80,3,80,8,1,Hello (Real) World with ROS – Robot Operating System(EDX),8
16609,80,5,0,0,80,7,0,Linux Operating System Fundamentals(Udemy),7
4246,80,3,60,3,80,1,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
6868,70,8,90,6,60,4,1,Getting Started with Junos Operating System(Coursera),7
9160,0,0,70,1,60,7,1,Operating System(Udemy),5
1724,70,3,80,9,60,7,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),4
7951,60,5,70,1,0,3,0,Computer Hardware and Operating Systems(EDX),8
1172,80,8,50,1,50,4,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
8825,70,8,0,0,80,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
14118,0,0,80,5,70,2,1,Getting Started with Junos Operating System(Coursera),6
15606,80,3,70,6,70,8,1,Advanced Operating Systems(Udacity),7
5346,0,0,90,4,60,5,1,Operating Systems from scratch - Part 2(Udemy),7
728,0,0,0,0,40,7,1,Embedded Hardware and Operating Systems(Coursera),8
4234,50,8,0,0,70,6,1,Operating Systems and You: Becoming a Power User(Coursera),7
863,80,8,70,6,40,9,0,Cybersecurity Roles and Operating System Security(EDX),8
11051,0,0,70,7,80,4,0,Introduction to Operating Systems(Swayam),5
924,0,0,70,4,90,5,1,Operating System(Udemy),7
5153,80,8,80,6,50,7,0,Hello (Real) World with ROS – Robot Operating System(EDX),6
16577,70,8,70,7,60,5,0,Using Python to Interact with the Operating System(Coursera),6
14661,80,3,0,0,40,5,0,Real Time Operating System(SWAYAM),7
3322,70,5,0,0,40,3,1,Real Time Operating System(SWAYAM),7
19380,90,5,70,7,60,1,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
6149,0,0,60,4,30,1,0,Introduction to Operating Systems(Udacity),6
6656,70,3,0,0,50,1,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),5
18065,60,5,70,4,70,6,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
4024,0,0,60,7,40,1,1,Cybersecurity Roles and Operating System Security(EDX),8
390,0,8,70,3,70,9,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),5
7916,0,0,80,7,50,2,1,Operating Running Systems(PluraSight),7
20122,0,0,90,9,50,2,1,Operating System(Udemy),8
1680,70,8,0,0,30,1,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
987,0,0,60,2,60,9,0,Introduction to Operating Systems(Udacity),7
19323,60,3,30,3,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
15237,50,8,80,2,60,3,0,Become a Master of Operating Systems at comfort of your Home (Udemy),6
1161,0,0,0,0,60,8,0,Introduction to Operating Systems(Udacity),5
9283,0,0,0,0,60,2,0,Embedded Hardware and Operating Systems(Coursera),6
3064,70,8,80,8,60,8,1,Operating System(Youtube -GateSmasher),7
3506,90,8,80,6,60,7,1,Operating Azure Stack Hub(PLuralSight),7
12611,40,3,70,8,50,5,0,Operating System(Udemy),7
21112,0,0,60,6,40,7,1,Operating Systems and You: Becoming a Power User(Coursera),6
18625,60,3,50,5,0,0,0,Operating Systems from scratch - Part 1(Udemy),5
2196,80,8,70,4,80,2,1,Linux Operating System Fundamentals(Udemy),4
18848,60,3,0,0,60,2,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
10677,80,3,70,2,60,4,0,Computer Hardware and Operating Systems(EDX),6
11777,80,5,0,0,60,8,0,Embedded Hardware and Operating Systems(Coursera),8
10643,80,8,70,1,0,0,0,Operating Systems and You: Becoming a Power User(Coursera),4
10521,0,0,70,7,50,5,0,Understanding Computer Systems(FutureLearn),7
2020,80,8,80,9,80,6,1,Operating System(Youtube -GateSmasher),6
277,70,5,80,9,70,4,0,Real Time Operating System(SWAYAM),6
13388,90,3,90,9,80,7,1,Operating System(Youtube -GateSmasher),7
9490,0,0,0,0,60,1,1,Operating Systems from scratch - Part 1(Udemy),6
20247,60,3,70,2,50,9,0,Computer Hardware and Operating Systems(EDX),4
19633,90,5,80,6,60,9,0,Operating Systems and You: Becoming a Power User(Coursera),7
17755,80,8,60,7,70,8,0,Operating Systems from scratch - Part 1(Udemy),7
5756,50,5,70,8,40,4,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),6
9157,80,8,0,0,60,6,0,Cybersecurity Roles and Operating System Security(EDX),4
4074,90,5,70,6,50,6,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),6
567,80,3,0,0,70,5,0,Real Time Operating System(SWAYAM),6
21024,60,3,90,5,90,1,1,Operating Running Systems(PluraSight),5
16023,70,3,70,2,40,4,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),6
5653,60,8,80,9,70,5,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
5542,0,0,80,9,70,2,1,Embedded Hardware and Operating Systems(Coursera),7
18711,80,5,0,0,60,2,0,Embedded and Real Time Operating Systems(Youtube),6
16528,70,8,70,4,50,5,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),8
10306,0,0,80,9,60,3,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
20693,0,8,80,7,50,7,0,Real Time Operating System(SWAYAM),8
18299,0,0,80,4,60,1,0,Operating Systems and You: Becoming a Power User(Coursera),6
4058,70,3,80,1,70,9,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),5
17302,80,3,30,5,70,9,1,Using Python to Interact with the Operating System(Coursera),3
6505,90,3,70,1,60,3,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
13201,0,0,0,0,60,4,0,Embedded and Real Time Operating Systems(Youtube),6
13857,60,8,70,3,60,7,0,Getting Started with Junos Operating System(Coursera),6
16187,90,8,70,9,50,7,0,Computer Hardware and Operating Systems(EDX),7
7132,70,5,30,7,50,9,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
20143,80,3,0,0,70,2,0,Operating Systems(SWAYAM),7
16775,90,3,80,4,40,7,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),8
5889,80,8,50,7,70,4,0,Introduction to Operating Systems(Swayam),6
19989,0,0,80,2,80,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
16091,80,8,60,7,80,5,0,Operating System(Udemy),6
17546,70,5,80,3,0,0,1,Introduction to Operating Systems(Udacity),8
19195,70,8,90,6,50,4,0,Operating Azure Stack Hub(PLuralSight),5
4695,70,3,40,2,80,9,0,Operating Azure Stack Hub(PLuralSight),6
2220,90,3,80,2,70,3,1,Real Time Operating System(SWAYAM),6
1966,80,5,70,6,60,3,1,Understanding Computer Systems(FutureLearn),7
13299,80,8,80,3,80,7,0,Operating Systems(SWAYAM),6
3383,70,3,70,2,50,9,0,Operating System(Youtube -GateSmasher),7
20719,70,8,60,9,70,5,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
3921,90,8,60,1,70,2,0,Embedded and Real Time Operating Systems(Youtube),8
5965,80,8,70,8,60,5,0,Hello (Real) World with ROS – Robot Operating System(EDX),7
10523,0,0,80,4,60,1,0,Operating System(Udemy),5
15226,60,5,40,5,70,6,1,Introduction to Operating Systems(Udacity),6
3584,80,3,80,9,80,2,1,Operating Systems(SWAYAM),6
13021,80,8,60,4,70,9,0,Operating Systems and You: Becoming a Power User(Coursera),7
10312,80,5,80,8,70,3,1,Operating Systems(SWAYAM),7
19331,80,8,80,6,40,9,0,Operating Systems(SWAYAM),7
17468,60,3,70,1,50,4,1,Operating Systems from scratch - Part 2(Udemy),7
228,70,8,80,5,70,8,1,Operating System(Udemy),7
16613,80,3,0,0,40,1,0,Operating System(Udemy),6
141,80,3,80,9,80,9,0,Operating System(Udemy),7
4813,0,0,80,6,60,8,0,Operating Running Systems(PluraSight),6
16257,0,0,80,1,70,1,0,Operating Systems(SWAYAM),7
2529,40,3,80,8,80,2,0,Embedded and Real Time Operating Systems(Youtube),5
20134,70,8,70,8,70,1,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
7115,80,8,70,9,60,2,0,Operating Systems from scratch - Part 2(Udemy),6
6672,60,8,70,9,60,6,1,Introduction to Operating Systems(Swayam),6
20760,60,5,80,8,80,7,1,Operating System(Udemy),6
6637,80,3,80,6,70,9,0,Operating System(Udemy),6
5108,80,3,80,9,60,3,1,Advanced Operating Systems(Udacity),6
21167,80,5,70,5,50,1,0,Operating Azure Stack Hub(PLuralSight),7
16828,90,3,80,6,80,2,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
3468,80,3,90,2,60,1,1,Operating Systems(SWAYAM),7
5971,80,5,80,9,60,8,0,Operating Azure Stack Hub(PLuralSight),7
5619,70,5,0,0,80,1,0,Cybersecurity Roles and Operating System Security(EDX),7
9763,70,3,90,4,80,9,0,Operating System(Youtube -GateSmasher),7
13703,70,3,70,2,40,2,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),5
9281,80,8,80,4,70,1,0,Introduction to Operating Systems(Udacity),6
7170,70,3,80,1,80,7,1,Operating Systems from scratch - Part 1(Udemy),7
11466,70,8,90,6,70,2,1,Operating Systems Concept and Design Principles for Beginner(Udemy),8
20564,50,3,70,9,70,5,1,Embedded Hardware and Operating Systems(Coursera),7
3362,70,5,80,7,50,1,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),4
11835,80,8,90,2,70,3,0,Embedded Hardware and Operating Systems(Coursera),3
12838,70,3,70,1,70,3,1,Hello (Real) World with ROS – Robot Operating System(EDX),7
2688,80,5,80,7,70,8,1,Hello (Real) World with ROS – Robot Operating System(EDX),7
2909,80,5,0,0,60,9,0,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),7
5742,80,3,80,6,50,9,1,Operating Systems and You: Becoming a Power User(Coursera),5
11834,80,3,60,1,60,9,1,Introduction to Operating Systems(Swayam),7
19445,60,3,80,2,50,3,0,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
18280,0,0,0,0,80,1,1,Operating Systems from scratch - Part 2(Udemy),7
10576,0,0,70,6,60,4,1,Hello (Real) World with ROS – Robot Operating System(EDX),6
15166,0,0,70,9,70,3,1,Operating Running Systems(PluraSight),5
14164,90,8,0,0,40,6,1,Become a Master of Operating Systems at comfort of your Home (Udemy),6
482,60,3,80,3,0,0,1,Using Python to Interact with the Operating System(Coursera),7
9967,80,8,70,7,60,8,0,Hello (Real) World with ROS – Robot Operating System(EDX),7
20503,90,3,90,8,40,9,0,Operating Systems and You: Becoming a Power User(Coursera),7
3631,70,3,70,3,70,8,0,Embedded and Real Time Operating Systems(Youtube),6
9934,0,0,80,6,70,7,1,Real Time Operating System(SWAYAM),7
13700,80,3,0,0,50,8,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
2996,90,8,90,7,50,7,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),6
3960,70,3,70,6,80,7,1,Real Time Operating System(SWAYAM),7
19609,0,0,60,3,50,4,0,Computer Hardware and Operating Systems(EDX),8
16,60,8,80,3,60,1,1,Real Time Operating System(SWAYAM),6
11230,0,0,90,5,70,1,1,Operating Systems from scratch - Part 1(Udemy),7
374,70,8,60,5,0,0,1,Operating Azure Stack Hub(PLuralSight),7
7843,70,5,70,6,60,6,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
6739,80,8,70,1,70,1,0,Operating Systems Concept and Design Principles for Beginner(Udemy),7
3595,80,5,60,6,60,9,0,Operating Running Systems(PluraSight),6
12146,80,3,80,3,0,0,1,Getting Started with Junos Operating System(Coursera),7
14875,70,8,70,5,60,4,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
18361,60,5,70,7,60,6,0,Advanced Operating Systems(Udacity),6
16010,60,3,60,1,70,4,1,Introduction to Operating Systems(Swayam),5
9784,90,8,90,6,70,4,1,Operating Systems Concept and Design Principles for Beginner(Udemy),4
10128,0,0,70,6,60,3,1,Operating Systems from scratch - Part 1(Udemy),7
1398,70,5,80,7,70,1,1,Embedded and Real Time Operating Systems(Youtube),7
15368,40,8,90,1,70,6,1,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
5282,90,3,60,5,70,2,1,Advanced Operating Systems(Udacity),6
2047,0,0,70,9,70,5,0,Operating Systems(SWAYAM),7
8341,0,0,0,0,60,4,0,Using Python to Interact with the Operating System(Coursera),6
20060,60,3,80,2,60,6,1,Linux Operating System Fundamentals(Udemy),7
17461,90,5,80,4,60,7,0,Embedded Hardware and Operating Systems(Coursera),7
18557,60,3,0,0,50,1,0,Operating Azure Stack Hub(PLuralSight),6
15976,50,3,0,0,50,4,1,Operating Azure Stack Hub(PLuralSight),4
15107,60,8,0,0,80,7,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),6
15827,70,8,70,5,60,2,0,Cybersecurity Roles and Operating System Security(EDX),7
15256,60,3,80,6,80,5,1,Introduction to Operating Systems(Swayam),6
18874,70,5,0,0,70,3,1,Getting Started with Junos Operating System(Coursera),6
3644,0,0,0,0,90,7,1,Operating System(Youtube -GateSmasher),4
11444,70,3,90,9,30,7,1,Using Python to Interact with the Operating System(Coursera),6
145,0,0,80,7,40,2,0,Operating Systems and You: Becoming a Power User(Coursera),4
18389,0,0,70,7,50,9,0,Embedded Hardware and Operating Systems(Coursera),3
19172,0,0,80,1,70,3,1,Embedded Hardware and Operating Systems(Coursera),7
10274,70,5,0,0,0,0,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
4001,40,5,0,0,80,8,0,Operating Running Systems(PluraSight),8
10168,70,5,80,2,50,7,1,Using Python to Interact with the Operating System(Coursera),5
17925,90,8,70,2,50,5,0,Embedded Hardware and Operating Systems(Coursera),2
10286,90,8,70,7,60,7,1,Hello (Real) World with ROS – Robot Operating System(EDX),4
13932,80,5,80,5,50,9,1,Become a Master of Operating Systems at comfort of your Home (Udemy),6
16449,70,3,80,5,80,5,0,Embedded and Real Time Operating Systems(Youtube),6
14641,60,5,80,9,50,2,0,Operating System(Udemy),7
7883,80,3,80,2,50,4,0,Getting Started with Junos Operating System(Coursera),6
9917,60,3,90,7,80,9,0,Operating Running Systems(PluraSight),8
5254,70,5,0,0,50,3,1,Computer Hardware and Operating Systems(EDX),7
16498,60,5,60,3,0,0,1,Operating Azure Stack Hub(PLuralSight),6
2902,0,0,0,0,60,6,1,Introduction to Operating Systems(Swayam),6
20818,90,5,0,0,40,3,1,Operating System(Udemy),7
12974,80,3,0,0,40,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),5
8928,70,8,0,0,80,8,1,Operating System(Udemy),7
11059,60,5,80,3,0,0,0,Operating Systems from scratch - Part 2(Udemy),4
1902,70,5,0,0,60,7,1,Operating Systems(SWAYAM),6
18992,40,8,80,3,0,0,1,Operating Azure Stack Hub(PLuralSight),7
17168,80,8,60,2,50,7,1,Operating Systems and You: Becoming a Power User(Coursera),6
15193,60,5,80,6,0,0,0,Operating Azure Stack Hub(PLuralSight),7
2708,90,8,90,7,60,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
3963,80,5,90,3,60,1,0,Operating System(Youtube -GateSmasher),6
5945,90,5,0,0,70,8,0,Operating Systems and You: Becoming a Power User(Coursera),4
13235,80,5,0,0,50,8,0,Operating Systems Concept and Design Principles for Beginner(Udemy),8
18684,60,8,0,0,60,7,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
2258,80,3,70,1,80,5,1,Operating System(Udemy),8
7329,80,5,80,4,70,6,0,Linux Operating System Fundamentals(Udemy),7
11657,90,5,0,0,40,9,0,Operating Running Systems(PluraSight),7
2592,80,3,80,8,50,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),4
2488,70,3,0,0,50,7,1,Understanding Computer Systems(FutureLearn),7
12050,80,3,70,7,60,4,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),7
4299,80,3,90,5,50,5,0,Operating Systems from scratch - Part 1(Udemy),6
16857,80,8,80,6,60,6,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
2319,0,0,70,4,70,8,0,Operating Running Systems(PluraSight),7
13801,80,5,70,6,50,9,0,Operating Azure Stack Hub(PLuralSight),6
9087,0,0,80,2,70,7,0,Operating Systems from scratch - Part 2(Udemy),6
17440,80,8,70,2,50,1,1,Operating Systems Concept and Design Principles for Beginner(Udemy),6
8940,80,8,70,5,40,5,1,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
21250,0,0,90,7,40,7,1,Cybersecurity Roles and Operating System Security(EDX),6
3872,80,8,0,0,60,5,1,SCCM Current Branch: Deploy and Maintain Operating Systems(Pluralsight),8
10076,90,3,80,3,70,7,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
16333,90,8,90,5,40,4,0,Embedded and Real Time Operating Systems(Youtube),7
17567,90,3,0,0,70,2,0,Cybersecurity Roles and Operating System Security(EDX),6
3512,60,8,80,9,80,7,1,Embedded Hardware and Operating Systems(Coursera),7
5063,0,0,0,0,0,3,0,Operating Systems(SWAYAM),7
17414,90,3,80,2,50,6,1,Other Operating Systems & Technologies for CompTIA A+ (220-902)(Pluralsight),7
18307,80,8,80,4,70,9,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
5882,60,5,90,3,0,0,1,Getting Started with Junos Operating System(Coursera),7
9712,80,3,80,4,60,5,1,Operating Azure Stack Hub(PLuralSight),6
16095,90,8,70,7,0,4,0,Operating Systems and You: Becoming a Power User(Coursera),7
19870,80,8,80,2,30,1,1,Computer Hardware and Operating Systems(EDX),8
368,60,3,80,1,50,8,1,Hello (Real) World with ROS – Robot Operating System(EDX),8
13332,80,8,80,1,0,5,1,Linux Operating System Fundamentals(Udemy),6
8971,90,3,0,0,80,3,0,Operating Systems from scratch - Part 2(Udemy),7
13261,90,5,70,9,40,8,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),7
4044,70,3,0,0,70,2,1,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),7
11578,70,8,90,5,70,1,1,Operating Systems from scratch - Part 1(Udemy),7
5207,90,3,70,3,70,9,0,Real Time Operating System(SWAYAM),7
8922,0,0,80,2,50,1,1,Operating System(Youtube -GateSmasher),5
10429,90,3,0,0,70,3,0,Using Python to Interact with the Operating System(Coursera),7
17303,60,8,70,6,60,7,0,Operating System(Youtube -GateSmasher),5
20627,90,8,80,2,60,3,0,CompTIA A+ (220-1002): Cert Prep 5 Troubleshooting Operating Systems (Linkedln Learning),6
16310,0,0,80,7,60,6,1,Become a Master of Operating Systems at comfort of your Home (Udemy),7
5737,90,8,80,7,70,2,0,Getting Started with Junos Operating System(Coursera),8
16440,60,8,70,6,70,8,1,Operating Azure Stack Hub(PLuralSight),6
3087,70,8,80,2,40,3,0,Windows Operating Systems for CompTIA A+ (220-902)(Pluralsight),6
5975,0,0,0,3,30,1,0,Introduction to Operating Systems(Udacity),7
4187,0,0,80,4,70,6,0,Operating Systems Concept and Design Principles for Beginner(Udemy),6
9889,0,0,70,3,40,4,0,Operating Systems and You: Becoming a Power User(Coursera),6
19515,50,5,40,3,50,1,0,Juniper Networks JNCIA-Junos: Junos Operating System Fundamentals(PluralaSight),7
15682,0,0,0,0,70,1,1,Cybersecurity Roles and Operating System Security(EDX),9
7186,80,5,80,3,50,8,1,Understanding Computer Systems(FutureLearn),7
16756,70,8,80,2,60,9,1,Understanding Computer Systems(FutureLearn),6
399,0,0,80,4,0,0,0,Cybersecurity Roles and Operating System Security(EDX),7
17380,0,0,90,6,50,4,1,Configuration Manager: Maintain Inventory and Operating Systems(Linkedln Learning),5
16636,0,0,0,0,60,9,1,Operating System(Youtube -GateSmasher),7
20759,80,3,90,3,80,9,0,Getting Started with Junos Operating System(Coursera),7
14760,60,8,0,0,40,8,1,Operating Running Systems(PluraSight),6
13772,0,0,80,8,60,9,1,Operating Azure Stack Hub(PLuralSight),6
1576,70,8,70,9,80,3,1,Operating Systems from scratch - Part 2(Udemy),5
14042,80,3,70,2,50,9,1,Embedded and Real Time Operating Systems(Youtube),7
18551,80,5,80,4,60,6,0,Hello (Real) World with ROS – Robot Operating System(EDX),8
